[2025-10-22 12:25:20] [INFO    ] discord.client: logging in using static token
[2025-10-22 12:25:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-22 12:25:20] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-22 12:25:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1420592737673023602', 'username': 'Bookio', 'avatar': None, 'discriminator': '4867', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-22 12:25:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-22 12:25:21] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-22 12:25:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1420592737673023602', 'name': 'Bookio', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1420592737673023602', 'username': 'Bookio', 'avatar': None, 'discriminator': '4867', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}, '1': {}}, 'verify_key': 'c20575479de35af8f0318a67283ef80fe5398706594f63c2b4e4d167128fda5c', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '243520659022544902', 'username': 'deadalus.', 'avatar': 'a_4517f5447f82742a38397f734348d6d0', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'dec8d79a4aa06eaac4d81c76212a8bae', 'accent_color': 259, 'global_name': 'Deadalus', 'avatar_decoration_data': {'asset': 'a_617f585217021efeae67deda61fdc595', 'sku_id': '1423746348905136170', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000103', 'clan': {'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'tag': 'SCB', 'badge': '2c7aa014ee3599b6b7089ce933971852'}, 'primary_guild': {'identity_guild_id': '1224029983362646076', 'identity_enabled': True, 'tag': 'SCB', 'badge': '2c7aa014ee3599b6b7089ce933971852'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2240, 'monetization_state': 1, 'verification_eligibility_flags': 123676, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-22 12:25:21] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-22 12:25:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-t5j3",{"micros":0.0}]']}}
[2025-10-22 12:25:21] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-22 12:25:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
